imdb_id,title,original_title,year,runtime_minutes,genres,average_rating,num_votes,imdb_url
tt0098260,Scandal,Scandal,1989,106.0,Drama,6.4,6001,https://www.imdb.com/title/tt0098260
tt0418778,Infection,Kansen,2004,98.0,Drama,6.0,5995,https://www.imdb.com/title/tt0418778
tt1021004,Egg,Yumurta,2007,97.0,Drama,6.6,5984,https://www.imdb.com/title/tt1021004
tt2818654,Cemetery of Splendor,Rak ti Khon Kaen,2015,122.0,Drama,6.8,5980,https://www.imdb.com/title/tt2818654
tt24515124,Winter Spring Summer or Fall,Winter Spring Summer or Fall,2024,97.0,Drama,6.1,5980,https://www.imdb.com/title/tt24515124
tt0434292,Princesses,Princesas,2005,109.0,Drama,7.0,5978,https://www.imdb.com/title/tt0434292
tt14527836,Recalled,Naeileui gieok,2021,99.0,Drama,6.7,5968,https://www.imdb.com/title/tt14527836
tt1618447,Goodbye First Love,Un amour de jeunesse,2011,110.0,Drama,6.7,5967,https://www.imdb.com/title/tt1618447
tt4300480,Italian Race,Veloce come il vento,2016,118.0,Drama,7.2,5966,https://www.imdb.com/title/tt4300480
tt18951176,Gulmohar,Gulmohar,2023,131.0,Drama,7.6,5960,https://www.imdb.com/title/tt18951176
tt2443822,The Boy,The Boy,2015,111.0,Drama,5.5,5952,https://www.imdb.com/title/tt2443822
tt3283804,Are We OK?,Tamam Miyiz?,2013,92.0,Drama,7.0,5951,https://www.imdb.com/title/tt3283804
tt2386285,Road to Paloma,Road to Paloma,2014,91.0,Drama,6.0,5950,https://www.imdb.com/title/tt2386285
tt33888131,Aap Jaisa Koi,Aap Jaisa Koi,2025,114.0,Drama,5.8,5948,https://www.imdb.com/title/tt33888131
tt0316188,Raising Victor Vargas,Raising Victor Vargas,2002,88.0,Drama,7.2,5946,https://www.imdb.com/title/tt0316188
tt0204709,An Affair of Love,Une liaison pornographique,1999,80.0,Drama,6.9,5945,https://www.imdb.com/title/tt0204709
tt0103125,True Colors,True Colors,1991,111.0,Drama,6.3,5942,https://www.imdb.com/title/tt0103125
tt4614612,Peterloo,Peterloo,2018,154.0,Drama,6.5,5940,https://www.imdb.com/title/tt4614612
tt5919756,Disappearance at Clifton Hill,Clifton Hill,2019,100.0,Drama,5.4,5929,https://www.imdb.com/title/tt5919756
tt0428856,The Moustache,La moustache,2005,87.0,Drama,6.6,5929,https://www.imdb.com/title/tt0428856
